Enemy,Level,First Words,Last Words
Drake,3,I can smell something. Have you been eating garlic?||It doesn't count if you win and|you've been eating garlic!,
Drake,4,Back when I first became a vampire[;] the people who tried|to fight me would wear top hats and huge petticoats|and they'd come in big horse-drawn carriages.||But now: another big old walking dice.,
Drake,5,Oh look[;] it's yet another dice come to fight me.||Well[;] good luck. I'm almost invulnerable and I'm five|centuries old[;] so fingers crossed for you I guess.,
Drake,6,Oh[;] it's time for another fight[;] is it?||Well[;] I'll have you know that I accidentally ate some garlic|naan earlier so I'm NOT feeling myself[;] but fine!||If it's a fight you want then it's a fight you'll get.,
Scathach,1,Ah[;] for the lost caress of the wind[;]|the call of the birds in the air.||Oh well. In the absence of any of that[;]|a fight'll do nicely.,
Scathach,2,The half-silent whisper of the underground night carried|news to me that you were nigh.||So I am entirely ready to beat you[;] just so you know.,
Scathach,3,The ethereal echoes of the cave speak to me of|your future[;] and they say:||You're about to die.,
Scathach,4,As fall the distant stars in the clear night sky[;]|so fall you in[;] you know...||...this fight that I'm about to beat you in.,
Scathach,5,When the dungeons deep beneath the earth|lie empty[;] and the moonlight shines into their|hollowed-out spaces...|...still will you be trapped here losing all|your fights like a loser.,
Scathach,6,Hey[;] I heard that eternity's blank eyes will see you|fall and falter and fall again. Starting now.,
Scathach,7,Deep below even these dungeons[;] the firey heart|of the earth awaits your inevitable failure.||So can we get started? Don't want to keep|the firey heart of the earth waiting.,
Scathach,8,Though the sweet river empties perpetually into the sea[;]|still is the sea itself filled with salt.||On a pretty similar note[;] it doesn't matter how|many times you come and fight me:||you're still going to lose.,
Aoife,1,Hey. It's over[;] dice kid.,
Aoife,2,Another fight? Yeah[;] go on then.,
Aoife,3,More fighting? I couldn't[;] I'm stuffed.||...|Ah okay[;] just one more.,
Aoife,4,Ooh[;] another fight? Don't mind if I do.,
Aoife,5,I swore I wasn't going to have a fight today[;] but|if you're going to leave it RIGHT THERE...,
Aoife,6,My dentist told me I shouldn't fight after|I've brushed my teeth.||So I fought her. I won[;] obviously.,
Aoife,7,I'm not really in the mood for fighting.||But if nobody else is going to take it...,
Aoife,8,Oh I've been in the mood for a big juicy fight all|day[;] and here you are. Perfect.,
Aoife,9,Oh[;] a fight? Honestly I couldn't[;] not an empty stomach.||Wait[;] no[;] I had some toast earlier so: YEAH|COME ON THEN LET'S GO.,
Aoife,10,Apparently I shouldn't be having more than|three or four fights a week.||So... you'd better make this one worth it.,
Audrey,1,Great to see you! Just a heads-up: I'm not gonna go|easy on you. I hope you've done your stretches!,
Audrey,2,One! Two! Three! Sword! And One! Two! Three! Shield!||Hope you've done all your drills!,
Audrey,3,Hey! You there! Believe in yourself!||You can do it! You can win!||Maybe not today[;] because I'm going to do my very|best to beat you[;] but... one day!,
Audrey,4,Ready for a fight? Yeah! Even if you don't|win it's good training!||Walk in strong[;] roll out stronger!,
Audrey,5,Yeah! It's fighting time! Remember: even if you lose[;] you're|still way ahead of the dice who aren't trying!,
Audrey,6,Yeah[;] it's you again! That's great! You're getting|better at this EVERY DAY.||And remember: you lose 100% of the fights you don't get into.,
Audrey,7,Hey[;] I'm so proud of you for sticking with this[;]|even when it's hard!||Remember: roll harder than yesterday if you|want a different tomorrow!,
Audrey,8,Yeah[;] it's time for another boss battle!||You been practicing? Let's get to it! Deep breaths[;]|centre yourself[;] and... FIGHT!,
Audrey,9,You're here again! That's great!|Every roll counts!||Remember: tomorrow's CAN is built on|today's CAN'T QUITE!,
Mariah Carey,1,Hey[;] hon[;] glad to see you during these times!||During Christmas[;] I mean.||Anyway[;] I'm going to destroy you|WITH SONG!,
Mariah Carey,2,Lady Luck told me you hate Christmas.|Is this true?||Honestly[;] I don't care. I'm getting paid anyway,
Nicholas,1,Heya kiddo!||Did you come to sit on my lap?||Or ask for a toy for the hundredth time!?,
Nicholas,2,Santa's going to kick your hind back to the North Pole!,
Nicholas,3,I have toys I need to make...|but don't worry[;] I'll keep this quick.,
Ned_bear_finale,1,Oh hey[;] Alchemist! Wait[;] no - it's you[;] huh!|Good on ya! Now let's see what I can do|for those claws...,
Val_bear_finale,1,Oh[;] you're a bear now? It's a definite improvement.|Can't trade you anything[;] though.,
Yolanda_bear_finale,1,Come in[;] come in! You're looking great! Very hairy[;] very ravenous[;] it suits you.|But I'm so sorry[;] I don't think I have anything in your size today.,
