Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Small Shield,Add [shield]<d6> shield,1,inflictself(SHIELD[;] d);,Protection,MAX3,,ORANGE,add1,complicate,,,0,YES,NO,vanilla,,,,,,,,,,,,
Iron Shield,Add [shield]<d6> shield,2,inflictself(SHIELD[;] d);,Protection,NORMAL,,ORANGE,add1,complicate,,,0,YES,NO,vanilla,,,,,,,,,,,,
Tower Shield,Add [shield]<d6> shield|[gray](Reuseable),2,inflictself(SHIELD[;] d);,Protection,MAX5,,ORANGE,change_power,change_power,,,2,YES,NO,vanilla,,,,,,,,,,,,
Tower Shield_downgraded,Add [shield]<d6> shield,2,inflictself(SHIELD[;] d);,Protection,MAX5,,ORANGE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Tower Shield_upgraded,Add [shield]<d6> shield|[gray](Reuseable),2,inflictself(SHIELD[;] d);,Protection,NORMAL,,ORANGE,,,,,2,YES,NO,vanilla,,,,,,,,,,,,
Divine Rod,Reduce health to [heart]1,2,pierceattack(target.hp - 1); bonus(10000);,Time Stop,REQUIRE6|REQUIRE6|REQUIRE6|REQUIRE6,,RED,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Divine Rod_upgraded,Reduce health to [heart]1,2,pierceattack(target.hp - 1); bonus(10000);,Time Stop,REQUIRE6|EVEN|EVEN|REQUIRE6,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Divine Rod_downgraded,Reduce health in half,2,pierceattack((target.hp / 2)); bonus(10000);,Time Stop,REQUIRE6|REQUIRE6|REQUIRE6|REQUIRE6,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Snowball,Do [ice]<d6> damage|Freeze [ice]1 dice,1,attack(d[;] ICE); inflict(ICE[;] 1);,Refrigerator,ODD,,BRIGHTCYAN,change_power,change_power,ice,,0,NO,NO,vanilla,,,,,,,,,,,,
Snowball_upgraded,Do [ice]<d6> damage|Freeze [ice]1 dice,1,attack(d[;] ICE); inflict(ICE[;] 1);,Refrigerator,ODD|FREE1,,BRIGHTCYAN,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Snowball_downgraded,Do [sword]<d6> damage,1,attack(d);,Refrigerator,ODD,,BRIGHTCYAN,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Freeze Spell,Deal [ice]5 damage|Freeze [ice]2 dice,1,attack(5[;] ICE); inflict(ICE[;] 2);,Refrigerator,REQUIRE1,,BRIGHTCYAN,change_power,change_power,ice,,0,NO,NO,vanilla,,,,,,,,,,,,
Freeze Spell_downgraded,Deal [ice]5 damage|Freeze [ice]1 dice,1,attack(5[;] ICE); inflict(ICE[;] 1);,Refrigerator,REQUIRE1,,BRIGHTCYAN,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Freeze Spell_upgraded,Deal [ice]5 damage|Freeze [ice]ALL dice,1,attack(5[;] ICE); inflict(ICE[;] ALL);,Refrigerator,REQUIRE1,,BRIGHTCYAN,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Flame Spell,Deal [fire]5 damage|Burn [fire]2 dice,1,attack(5[;] FIRE); inflict(FIRE[;] 2);,Hellfire,REQUIRE2,,RED,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Flame Spell_upgraded,Deal [fire]6 damage|Burn [fire]ALL dice,1,attack(6[;] FIRE); inflict(FIRE[;] ALL);,Hellfire,REQUIRE2,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Flame Spell_downgraded,Deal [sword]5 damage,1,attack(5);,Hellfire,REQUIRE2,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Fireball,Deal [fire]<d6> damage|Burn [fire]1 dice,1,attack(d[;] FIRE); inflict(FIRE[;] 1);,Hellfire,EVEN,,RED,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Fireball_upgraded,Deal [fire]<d6> damage|Burn [fire]2 dice,1,attack(d[;] FIRE); inflict(FIRE[;] 2);,Hellfire,EVEN,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Fireball_downgraded,Deal [sword]<d6> damage,1,attack(d);,Hellfire,EVEN,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Backfire,Lose [heart]5 health,1,pierceattackself(5);,Infinity Mirror,REQUIRE1,,PURPLE,change_backfire,change_power,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Backfire_downgraded,Lose [heart]15 health,1,pierceattackself(15);,Infinity Mirror,REQUIRE1,,PURPLE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Backfire_weakened,Lose [heart]15 health,1,pierceattackself(15);,Infinity Mirror,REQUIRE1,,PURPLE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Backfire_upgraded,Lose [heart]10 health,1,pierceattackself(10);,Infinity Mirror,REQUIRE1,,PURPLE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Poison Spell,Inflict [poison]4 poison,1,inflict(POISON[;] 4);,Poison Arrow,REQUIRE3,,PURPLE,change_power,doublerequirements,,,0,NO,NO,vanilla,,,,,,,,,,,,
Poison Spell_upgraded,Inflict [poison]5 poison,1,inflict(POISON[;] 5);,Poison Arrow,REQUIRE3,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Toxic Ooze,Do [sword]<d6> damage[;]|on 6[;] add [poison]2 poison,2,attack(d); if(d == 6) inflict(POISON[;] 2); if(d >= 6) { sfx(~_poison~[;]~~[;]0.2); } sfxdamage(target[;]d);,Emetic,NORMAL,,PURPLE,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Toxic Ooze_downgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]1 poison,2,attack(d); if(d == 6) inflict(POISON[;] 1); if(d >= 6) { sfx(~_poison~[;]~~[;]0.2); } sfxdamage(target[;]d);,Emetic,NORMAL,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Toxic Ooze_upgraded,Do [sword]<d6> damage[;]|on 6[;] add [poison]3 poison,2,attack(d); if(d == 6) inflict(POISON[;] 3); if(d >= 6) { sfx(~_poison~[;]~~[;]0.2); } sfxdamage(target[;]d);,Emetic,NORMAL,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Poison Slingshot,Add [poison]4 poison,1,inflict(POISON[;] 4); bonus(1000);,Poison Arrow,COUNTDOWN,12,PURPLE,change_countdown,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Poison Slingshot_downgraded,Add [poison]2 poison,1,inflict(POISON[;] 2); bonus(1000);,Poison Arrow,COUNTDOWN,12,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Poison Slingshot_upgraded,Add [poison]4 poison,1,inflict(POISON[;] 4); bonus(1000);,Poison Arrow,COUNTDOWN,9,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Blight,Double [poison] poison,1,inflict(POISON[;] getstatus(POISON));,Poison Arrow,COUNTDOWN,24,PURPLE,threequartercountdown,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Blight_weakened,Increase [poison] poison|by 50 percent,1,inflict(POISON[;] getstatus(POISON) * 0.5);,Poison Arrow,COUNTDOWN,18,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Blight_downgraded,Increase [poison] poison|by 50 percent,1,inflict(POISON[;] getstatus(POISON) * 0.5);,Poison Arrow,COUNTDOWN,24,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Claw,Do [sword]<d6> damage[;]|and add [poison]1 poison,1,attack(d); inflict(POISON[;] 1);,Poison Arrow,MAX3,,PURPLE,change_requirements,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Claw_downgraded,Do [sword]<d6> damage,1,attack(d);,Poison Arrow,MAX3,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Claw_upgraded,Do [sword]<d6> damage[;]|and add [poison]1 poison,1,attack(d); inflict(POISON[;] 1);,Poison Arrow,MAX5,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Dagger,Do [sword]<d6> damage|[gray](Reuseable),1,attack(d);,Steal,MAX3,,RED,add1,complicate,,,-1,NO,NO,vanilla,,,,,,,,,,,,
Six Shooter,Do [sword]<d6> damage|[gray](Reuseable),2,attack(d);,Fury,REQUIRE6,,RED,change_requirements,change_power,,,3,NO,NO,vanilla,,,,,,,,,,,,
Six Shooter_downgraded,Do [sword]<d6> damage|[gray](Reuseable),2,attack(d);,Fury,REQUIRE6,,RED,,,,,2,NO,NO,vanilla,,,,,,,,,,,,
Six Shooter_upgraded,Do [sword]<d6> damage|[gray](Reuseable),2,attack(d);,Fury,REQUIRE6,,RED,,,,,6,NO,NO,vanilla,,,,,,,,,,,,
Pierce Spell,Ignore shields,1,inflictself(PIERCE);,Weaken Spell,COUNTDOWN,7,YELLOW,change_countdown,change_power,,,0,YES,NO,excludefromrandomlists|vanilla,,,,,,,,,,,,
Pierce Spell_upgraded,Ignore shields,1,inflictself(PIERCE);,Weaken Spell,COUNTDOWN,5,YELLOW,,,,,0,YES,NO,excludefromrandomlists|vanilla,,,,,,,,,,,,
Pierce Spell_downgraded,Ignore shields,1,inflictself(PIERCE);,Weaken Spell,COUNTDOWN,12,YELLOW,,,,,0,YES,NO,excludefromrandomlists|vanilla,,,,,,,,,,,,
Magic Barrier,Add [shield]5 shield,1,inflictself(SHIELD[;] 5);,Protection,REQUIRE5,,ORANGE,simplify,doublerequirements,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Hall of Mirrors,[]+1 dice this fight,1,if(simulation) { bonus(1000); } else{ self.extradice++; },Focus,REQUIRE6,,PURPLE,simplify,doublerequirements,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Magic Shield,Add [shield]3 shield,1,inflictself(SHIELD[;] 3);,Barricade,ODD,,ORANGE,change_power,complicate,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Magic Shield_upgraded,Add [shield]4 shield,1,inflictself(SHIELD[;] 4);,Barricade,ODD,,ORANGE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Magic Missile,Do [sword]5 damage,1,attack(5);,Magic Dice,EVEN,,YELLOW,change_power,complicate,,,0,NO,NO,vanilla,1,,,,,,,,,,,
Magic Missile_upgraded,Do [sword]8 damage,1,attack(8);,Magic Dice,EVEN,,YELLOW,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Burning Light,Deal [fire]<d6> damage|Burn [fire]1 dice,1,attack(d[;] FIRE); inflict(FIRE[;] 1); bonus(1000);,Ember,MIN4,,RED,simplify,change_power,,,0,NO,NO,vanilla,1,,,,,,,,,,,
Burning Light_downgraded,Deal [fire]<d6> damage|Burn [fire]1 dice,1,attack(d[;] FIRE); inflict(FIRE[;] 1);,Ember,MAX3,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Healing Crystal,Recover [heal]<d6> health,1,attackself(-d); if(self.hp < self.maxhp) bonus(500 * d);,Regenerate,MAX3,,GREEN,change_power,complicate,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Healing Crystal_upgraded,Recover [heal]<d6> health[;]|reduce poison by 1,1,attackself(-d); removestatusself(POISON[;] 1); if(self.hp < self.maxhp) { bonus(500 * d); },Regenerate,MAX4,,GREEN,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Staff,Deal [fire]6 damage|Burn [fire]1 dice,2,attack(6[;] FIRE); inflict(FIRE[;] 1);,Blowtorch,COUNTDOWN,8,RED,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Staff_downgraded,Deal [fire]3 damage|Burn [fire]1 dice,2,attack(3[;] FIRE); inflict(FIRE[;] 1);,Blowtorch,COUNTDOWN,8,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Staff_upgraded,Deal [fire]8 damage|Burn [fire]1 dice,2,attack(8[;] FIRE); inflict(FIRE[;] 1);,Blowtorch,COUNTDOWN,8,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Wail,Silence Enemy,2,inflict(SILENCE); bonus(1000);,Dial Up Sounds,REQUIRE5,,PURPLE,change_requirements,doublerequirements,,,0,NO,NO,excludefromrandomlists|cannotsteal|vanilla,,,,,,,,,,,,
Wail_upgraded,Silence Enemy,2,inflict(SILENCE); bonus(1000);,Dial Up Sounds,MIN5,,PURPLE,,,,,0,NO,NO,excludefromrandomlists|cannotsteal|vanilla,,,,,,,,,,,,
Squawk,Silence Enemy,2,inflict(SILENCE); bonus(1000);,Dial Up Sounds,DOUBLES|DOUBLES,,PURPLE,change_power,change_power,,,0,NO,NO,excludefromrandomlists|cannotsteal|vanilla,,,,,,,,,,,,
Squawk_upgraded,Do [sword]2 damage|Silence Enemy,2,attack(2); inflict(SILENCE); bonus(1000);,Dial Up Sounds,DOUBLES|DOUBLES,,PURPLE,,,,,0,NO,NO,excludefromrandomlists|cannotsteal|vanilla,,,,,,,,,,,,
Squawk_downgraded,Silence Enemy,2,inflict(SILENCE); bonus(1000);,Dial Up Sounds,REQUIRE6|REQUIRE6,,PURPLE,,,,,0,NO,NO,excludefromrandomlists|cannotsteal|vanilla,,,,,,,,,,,,
Woof Woof Woof,Repeat next action,2,if(getstatusself(FURY) == 0) { bonus(1000); } else { bonus(-1000); } inflictself(FURY);,Fury,COUNTDOWN,8,RED,halfcountdown,noeffect,fury,,0,YES,NO,vanilla,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Dire Wolf Howl,Curse enemy,2,inflict(CURSE);,Cackle,DOUBLES|DOUBLES,,PURPLE,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Dire Wolf Howl_upgraded,Curse enemy,2,inflict(CURSE);,Cackle,COUNTDOWN,10,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Dire Wolf Howl_downgraded,Curse enemy,2,inflict(CURSE);,Cackle,REQUIRE6|REQUIRE6,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Dire Wolf Howl_weakened,No effect,2,donothing(); bonus(-10000);,Cackle,COUNTDOWN,10,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Shriek,Curse enemy,2,inflict(CURSE); bonus(1000);,Cackle,REQUIRE2,,PURPLE,change_power,doublerequirements,,,0,NO,NO,vanilla,,,,,,,,,,,,
Shriek_upgraded,Curse enemy,2,inflict(CURSE); bonus(1000);,Cackle,MAX2,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Lament,Do [ice]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,2,attack(d[;]ICE); if(d == 6) { inflict(ICE[;] 1); } sfx(~_ice~[;]~~[;]0.2); sfxdamage(target[;]d);,Arctic Storm,NORMAL,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Lament_upgraded,Do [ice]<d6> damage[;]|on 6[;] inflict [ice]1 freeze,2,attack(d[;]ICE); if(actualdice[0].basevalue == 6) { inflict(ICE[;] 1); } sfx(~_ice~[;]~~[;]0.2); sfxdamage(target[;]d);,Arctic Storm,NORMAL|FREE1,,BRIGHTCYAN,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Lament_downgraded,Do [ice]<d6> damage,2,attack(d[;]ICE); sfx(~_ice~[;]~~[;]0.2);,Arctic Storm,NORMAL,,BRIGHTCYAN,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Nightmare,Do [sword]999 damage,2,attack(999);,Reversal,COUNTDOWN,99,PURPLE,threequartercountdown,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,
Nightmare_downgraded,Do [sword]998 damage,2,attack(998);,Reversal,COUNTDOWN,99,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Nightmare_weakened,Do [sword]998 damage,2,attack(998);,Reversal,COUNTDOWN,74,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Midnight Charm,Roll 2 sixes,1,givedice([6[;] 6]);,Focus,COUNTDOWN,10,GREEN,halfcountdown,change_power,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Midnight Charm_weakened,Roll 1 six,1,givedice(6);,Focus,COUNTDOWN,5,GREEN,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Midnight Charm_downgraded,Roll 1 six,1,givedice(6);,Focus,COUNTDOWN,10,GREEN,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Snake Eye Charm,Roll 2 ones,1,givedice([1[;] 1]);,Magic Dice,COUNTDOWN,6,GREEN,halfcountdown,change_power,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Snake Eye Charm_downgraded,Roll 1 one,1,givedice(1);,Magic Dice,COUNTDOWN,6,GREEN,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Snake Eye Charm_weakened,Roll 1 one,1,givedice(1);,Magic Dice,COUNTDOWN,3,GREEN,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Chocolate Cookie,Repeat next action,1,if(getstatusself(FURY) == 0) { bonus(1000); } else { bonus(-1000); } inflictself(FURY);,Fury,COUNTDOWN,12,ORANGE,threequartercountdown,change_power,fury,,0,YES,NO,vanilla,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Chocolate Cookie_downgraded,Next equipment has|+1 use this turn,1,inflictself(REEQUIPNEXT);,Fury,COUNTDOWN,12,ORANGE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Fury Spell,Repeat next action,1,if(getstatusself(FURY) == 0) { bonus(1000); } else { bonus(-1000); } inflictself(FURY);,Fury,REQUIRE6,,PURPLE,simplify,noeffect,,,0,YES,NO,vanilla,2,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Dexterity Charm,All equipment is|reuseable this turn,2,inflictself(RECYCLE);,Efficiency,COUNTDOWN,24,ORANGE,reducesize,change_power,,,0,YES,NO,vanilla,,,,,,,,,,,,
Dexterity Charm_downgraded,No effect,2,bonus(-1500);,Efficiency,COUNTDOWN,24,ORANGE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Dexterity Charm_weakened,No effect,1,bonus(-1500);,Efficiency,COUNTDOWN,24,ORANGE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Wall of Flame,[fire]6 dmg + [fire]1 burn|[gray](once per battle),2,attack(6[;] FIRE); inflict(FIRE[;] 1);,Ember,DOUBLES|DOUBLES,,RED,change_power,change_power,,,0,NO,YES,vanilla,,,,,,,,,,,,
Wall of Flame_upgraded,[fire]8 dmg + [fire]1 burn|[gray](once per battle),2,attack(8[;] FIRE); inflict(FIRE[;] 1);,Ember,DOUBLES|DOUBLES,,RED,,,,,0,NO,YES,vanilla,,,,,,,,,,,,
Wall of Flame_downgraded,[fire]4 dmg + [fire]1 burn|[gray](once per battle),2,attack(4[;] FIRE); inflict(FIRE[;] 1);,Ember,DOUBLES|DOUBLES,,RED,,,,,0,NO,YES,vanilla,,,,,,,,,,,,
Infestation,Curse everyone,1,inflict(CURSE); inflictself(CURSE);,Cackle,EVEN,,PURPLE,change_power,change_power,,,0,NO,NO,vanilla,,,,,,,,,,,,inflictself(CURSE); sfx(~_curse~[;]~~[;]0.2);
Infestation_upgraded,Curse enemy,1,inflict(CURSE);,Cackle,EVEN,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Infestation_downgraded,Curse yourself,1,inflictself(CURSE);,Cackle,EVEN,,PURPLE,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Detonator,Do [sword]1 damage for|every [poison]1 on enemy,1,attack(getstatus(POISON));,Emetic,EVEN,,PURPLE,simplify,complicate,,,0,NO,NO,vanilla,,,,,,,,,,,,
Antidote,Cure [poison]<slotdoubles> poison,1,removestatusself(POISON[;] d);,Emetic,DOUBLES|DOUBLES,,PURPLE,change_power,change_function,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Antidote_downgraded,Cure [poison]<slotdoubles> poison|(for both you and enemy),1,removestatus(POISON[;] d); removestatusself(POISON[;] d);,Emetic,DOUBLES|DOUBLES,,PURPLE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,removestatusself(POISON[;] d);
Antidote_upgraded,Cure [poison]<d6> poison,1,removestatusself(POISON[;] d);,Emetic,NORMAL,,PURPLE,,,,,0,YES,NO,vanilla,,,,,,,,,,,,
Crystal Sword,Do [sword]<triple> damage|[gray](once per battle),2,attack(d * 3);,Fury,MAX5,,RED,reducesize,change_power,,,0,NO,YES,vanilla,,,,,,,,,,,,
Crystal Sword_downgraded,Do [sword]<double> damage|[gray](once per battle),2,attack(d * 2);,Fury,MAX5,,RED,,,,,0,NO,YES,vanilla,,,,,,,,,,,,
Crystal Sword_weakened,Do [sword]<double> damage|[gray](once per battle),1,attack(d * 2);,Fury,MAX5,,RED,,,,,0,NO,YES,vanilla,,,,,,,,,,,,
Crystal Sword_deckupgrade,Do [sword]<triple> damage,2,attack(d * 3);,Fury,MAX3,,RED,,,,,0,NO,NO,vanilla,,,,,,,,,,,,
Bump,Dice value +1,1,if(d >= 6){ givedice([6[;] 1]); } else { givedice(d + 1); },Megabump,NORMAL,,GREEN,change_power,complicate,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Bump_upgraded,Dice value +1|[gray](Reuseable),1,if(d >= 6){ givedice([6[;] 1]); } else { givedice(d + 1); },Megabump,NORMAL,,GREEN,,,,,2,YES,NO,vanilla,,,,,,,,,,,,
Nudge,Dice value -1,1,if(d >= 2) givedice(d - 1);,Meganudge,MIN2,,GREEN,change_power,complicate,,,0,YES,NO,vanilla,1,,,,,,,,,,,
Nudge_upgraded,Dice value -1|[gray](Reuseable),1,if(d >= 2) givedice(d - 1);,Meganudge,MIN2,,GREEN,,,,,3,YES,NO,vanilla,,,,,,,,,,,,
Counter Spell,If enemy rolls <d6>[;]|that dice is locked,1,inflict(~counter_~ + d);,Quick Thinking,NORMAL,,PURPLE,change_power,complicate,,,0,NO,NO,vanilla,1,,,,,,,,,,,
Counter Spell_upgraded,Lock dice that roll <d6>|[gray](Reuseable),1,inflict(~counter_~ + d);,Quick Thinking,NORMAL,,PURPLE,,,,,2,NO,NO,vanilla,,,,,,,,,,,,
Nightstick,[shock]Shocks the enemy|[gray](Reuseable),1,inflict(SHOCK);,Zap,EVEN,,YELLOW,change_power,removereusable,,,-1,NO,NO,vanilla,,,,,,,,,,,,
Nightstick_upgraded,[shock]Shocks the enemy|[gray](Reuseable),1,inflict(SHOCK);,Zap,NORMAL,,YELLOW,,,,,-1,NO,NO,vanilla,,,,,,,,,,,,
Rock,Do [sword]<d6> damage|[gray](once per battle),1,attack(d);,Shuriken,NORMAL,,RED,add2,complicate,,,0,NO,YES,vanilla,,,,,,,,,,,,
