Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Sandbag_upgraded,[weaken]<d6> dmg[;] inflict [weaken]1 weaken|On 5[;] inflict [weaken]1 more,1,attack(d[;]WEAKEN); inflict(WEAKEN); if(d == 5) { inflict(WEAKEN); }; sfx(~_weaken~);,Burrower,MAX5,,ORANGE,,,,,0,NO,NO,rs,,,,,,,,,,,,
Sandbag_downgraded,Do [weaken]<d6> damage[;]|inflict [weaken]1 weaken,1,attack(d[;]WEAKEN); inflict(WEAKEN); sfx(~_weaken~);,Burrower,MAX3,,ORANGE,,,,,0,NO,NO,rs,,,,,,,,,,,,
Quake Sigma,Do [sword]<d6> damage[;]|+[curse]1 curse,1,attack(d); sfxdamage(target[;]d); inflict(CURSE); sfx(~_curse~);,Dramatic Pause,MAX3|MAX3,,PURPLE,change_power,decreaserange,,,0,NO,NO,rs,1,,,,,,,,,,,
Quake Sigma_upgraded,Do [sword]<d6> damage[;]|+[curse]1 curse,1,attack(d); sfxdamage(target[;]d); inflict(CURSE); sfx(~_curse~);,Dramatic Pause,MAX4|MAX4,,PURPLE,,,,,0,NO,NO,rs,,,,,,,,,,,,
Dazzler,Inflict [shock]<d6> shock[;]|reroll the dice,2,inflict(SHOCK[;]d); sfx(~_shock~); givedice(rand([1[;]2[;]3[;]4[;]5[;]6]));,Zap,MAX3,,YELLOW,change_power,decreaserange,,,0,NO,NO,rs,,,,,,,,,,,,
Dazzler_upgraded,Inflict [shock]<d6> shock[;]|reroll with higher value,2,inflict(SHOCK[;]d); sfx(~_shock~); var finalv = []; for(dicev in (d+1)...7) { finalv.push(dicev); }; givedice(rand(finalv));,Zap,MAX3,,YELLOW,,,,,0,NO,NO,rs,,,,,,,,,,,,
Shovel Blade,Do [sword]<d6> damage[;]|on 1 or 4[;] inflict [weaken]1|weaken,2,attack(d); sfxdamage(target[;]d); if(d == 5 # d == 2) { inflict(WEAKEN); sfx(~_weaken~); };,Shuriken,MAX4|FREE1,,ORANGE,change_power,change_power,weaken,,0,NO,NO,rs,,,,,,,,,,,,
Shovel Blade_upgraded,Do [sword]<d6> damage[;]|on 1 or 6[;] inflict [weaken]1|weaken,2,attack(d); sfxdamage(target[;]d); if(d == 7 # d == 2) { inflict(WEAKEN); sfx(~_weaken~); };,Shuriken,NORMAL|FREE1,,ORANGE,,,,,0,NO,NO,rs,,,,,,,,,,,,
Shovel Blade_downgraded,Do [sword]<d6> damage[;]|on 2 or 4[;] inflict [weaken]1|weaken,2,attack(d); sfxdamage(target[;]d); if(d == 2 # d == 4) { inflict(WEAKEN); sfx(~_weaken~); };,Shuriken,MAX2|MAX2,,ORANGE,,,,,0,NO,NO,rs,,,,,,,,,,,,
The Monarch,Do [sword]2 damage 3-10 times|[80%][gray]The deadly sting of the monarch!,1,var monarchrage = rand([3[;]4[;]5[;]6[;]7[;]8[;]9[;]10]); for(i in 0...monarchrage){ attack(2); } sfxdamage(target[;]2*monarchrage); self.textparticle(monarchrage + ~ hits!~);,Plasma Gun,COUNTDOWN,16,RED,change_power,change_power,,,0,NO,NO,rs,,,,,,,,,,,,
The Monarch_upgraded,Do [sword]2 damage 5-10 times|[80%][gray]The deadly sting of the monarch!,1,var monarchrage = rand([5[;]6[;]7[;]8[;]9[;]10]); for(i in 0...monarchrage){ attack(2); } sfxdamage(target[;]2*monarchrage); self.textparticle(monarchrage + ~ hits!~);,Plasma Gun,COUNTDOWN,16,RED,change_power,change_power,,,0,NO,NO,rs,,,,,,,,,,,,
The Monarch_downgraded,Do [sword]2 damage 3-6 times|[80%][gray]The deadly sting of the monarch!,1,var monarchrage = rand([3[;]4[;]5[;]6]); for(i in 0...monarchrage){ attack(2); } sfxdamage(target[;]2*monarchrage); self.textparticle(monarchrage + ~ hits!~);,Plasma Gun,COUNTDOWN,16,RED,change_power,change_power,,,0,NO,NO,rs,,,,,,,,,,,,
Lucky Punch,Do [sword]7 damage[;]|40% chance to do double,1,var odds = 40; if(getstatusself(~luck~) > 0){ odds += 40; } if(getstatusself(~luck+~) > 0){ odds = 100; }; if(chance(odds)) { attack(14); sfxdamage(target[;]14); self.textparticle(~Success!~); } else { attack(7); sfxdamage(target[;]7); };,Power Up,NORMAL|NORMAL,7,PINK,change_power,change_power,,,0,NO,NO,rs,1,,,,,,,,,,,
Lucky Punch_upgraded,Do [sword]9 damage[;]|40% chance to do double,1,var odds = 40; if(getstatusself(~luck~) > 0){ odds += 40; } if(getstatusself(~luck+~) > 0){ odds = 100; }; if(chance(odds)) { attack(18); sfxdamage(target[;]18); self.textparticle(~Success!~); } else { attack(9); sfxdamage(target[;]9); };,Power Up,NORMAL|NORMAL,9,PINK,,,,,0,NO,NO,rs,,,,,,,,,,,,
Lucky Punch_downgraded,Do [sword]7 damage,1,attack(7); sfxdamage(target[;]7);,Power Up,NORMAL|NORMAL,7,PINK,,,,,0,NO,NO,rs,,,,,,,,,,,,
Ukulele,Do [shock]<d6> damage[;]|on 5[;] inflict [shock]1 shock|50% chance to [shock]shock,2,var odds = 50; if(getstatusself(~luck~) > 0){ odds += 50; } if(getstatusself(~luck+~) > 0){ odds = 100; }; attack(d[;]SHOCK); sfxdamage(target[;]d); if(d == 5) { inflict(SHOCK); sfx(~_shock~); }; if(chance(odds)) { inflict(SHOCK); sfx(~_shock~); };,Static Shock,ODD,,YELLOW,change_power,change_power,,,0,NO,NO,rs,,,,,,,,,,,,
Ukulele_downgraded,Do [shock]<d6> damage|50% chance to [shock]shock,2,var odds = 50; if(getstatusself(~luck~) > 0){ odds += 50; } if(getstatusself(~luck+~) > 0){ odds = 100; }; attack(d[;]SHOCK); sfxdamage(target[;]d); if(chance(odds)) { inflict(SHOCK); sfx(~_shock~); };,Static Shock,ODD,,YELLOW,,,,,0,NO,NO,rs,,,,,,,,,,,,
Ukulele_upgraded,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock|50% chance to [shock]shock,2,var odds = 50; if(getstatusself(~luck~) > 0){ odds += 50; } if(getstatusself(~luck+~) > 0){ odds = 100; }; attack(d[;]SHOCK); sfxdamage(target[;]d); if(d == 6) { inflict(SHOCK); sfx(~_shock~); }; if(chance(odds)) { inflict(SHOCK); sfx(~_shock~); };,Static Shock,NORMAL,,YELLOW,,,,,0,NO,NO,rs,,,,,,,,,,,,
Worm Scarf,At the start of each turn[;]|gain [reduce]1 reduce,1,inflictself(REDUCE); sfx(~_magic~);,Protection,,,PURPLE,change_power,change_power,,,0,YES,NO,cannotreuse|excludefromrandomlists|rs,1,,,,e.doequipmentaction(self[;]target[;]0[;][][;]0[;]false);,,,,,,,
Worm Scarf_upgraded,At the start of each turn[;]|gain [reduce]1 reduce[;] [thorns]1 thorn,1,inflictself(REDUCE); inflictself(THORNS); sfx(~_magic~);,Protection,,,PURPLE,,,,,0,YES,NO,cannotreuse|excludefromrandomlists|rs,,,,,e.doequipmentaction(self[;]target[;]0[;][][;]0[;]false);,,,,,,,
Worm Scarf_downgraded,No effect,1,,Protection,,,PURPLE,,,,,0,YES,NO,cannotreuse|excludefromrandomlists|rs,,,,,,,,,,,,
Melon Cauldron,Do [sword]3 damage[;]|get two new dice,1,attack(3); sfxdamage(target[;]3); givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;] rand([1[;]2[;]3[;]4[;]5[;]6])]);,Random Roll,REQUIRE6,,GREEN,change_power,change_power,,,0,NO,NO,rs,1,,,,,,,,,,,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;] rand([1[;]2[;]3[;]4[;]5[;]6])]);
Melon Cauldron_upgraded,Do [ice]3 dmg[;] +[ice]1 freeze[;]|get two new dice,1,attack(3[;] ICE); inflict(ICE); sfxdamage(target[;]3); sfx(~_ice~); givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;] rand([1[;]2[;]3[;]4[;]5[;]6])]);,Random Roll,REQUIRE6,,GREEN,,,,,0,NO,NO,rs,,,,,,,,,,,,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;] rand([1[;]2[;]3[;]4[;]5[;]6])]);
Melon Cauldron_downgraded,Do [sword]3 damage[;]|get a new dice,1,attack(3); sfxdamage(target[;]3); givedice();,Random Roll,REQUIRE6,,GREEN,,,,,0,NO,NO,rs,,,,,,,,,,,,givedice();
Eternity Cannon,Do [sword]5 damage now[;] and|at the start of each turn|[gray](once per battle),1,attack(5); sfxdamage(target[;] 5); inflictself(~eternitycannon~); sfx(~_thinghappens~);,Plasma Gun,COUNTDOWN,20,YELLOW,change_power,change_power,,,0,NO,YES,rs,2,,,,,,,,,,,
Eternity Cannon_upgraded,Do [sword]5 damage now[;] and|at the start of each turn,1,attack(5); sfxdamage(target[;]5); inflictself(~eternitycannon~); sfx(~_thinghappens~);,Plasma Gun,COUNTDOWN,20,YELLOW,,,,,0,NO,NO,rs,,,,,,,,,,,,
Eternity Cannon_downgraded,Do [sword]3 damage now[;] and|at the start of each turn|[gray](once per battle),1,attack(3); sfxdamage(target[;]3); inflictself(~eternitycannondowngraded~); sfx(~_thinghappens~);,Plasma Gun,COUNTDOWN,20,YELLOW,,,,,0,NO,YES,rs,,,,,,,,,,,,
Enchanted Missile,Do [sword]<evar:enchantedmissiledmg> dmg on start turn|Use to add [sword]3,1,e.setvar(~enchantedmissiledmg~[;]e.getvar(~enchantedmissiledmg~)+3); sfx(~_mana~);,Plasma Gun,EVEN|EVEN,,YELLOW,simplify,change_power,,,0,YES,NO,excludefromrandomlists|rs,1,e.resetvar(~enchantedmissiledmg~);,e.resetvar(~enchantedmissiledmg~);,,var enchdmg = e.getvar(~enchantedmissiledmg~); if(enchdmg > 0) { attack(enchdmg); sfxdamage(target[;]enchdmg); e.animate(~flashandshake~); },,,,,,,
Enchanted Missile_downgraded,Do [sword]5 damage,1,attack(5); sfxdamage(target[;]5);,Plasma Gun,EVEN|EVEN,,YELLOW,,,,,0,NO,NO,excludefromrandomlists|rs,,e.resetvar(~enchantedmissiledmg~);,e.resetvar(~enchantedmissiledmg~);,,,,,,,,,
Chain Knife,Do [sword]<d6> damage[;]|reduce countdowns by 2|,1,attack(d); boostcountdowns(2); sfxdamage(target[;]d);,Plasma Gun,MAX2,,RED,change_power,change_power,,,3,NO,NO,,1,,,,,,,,,,,boostcountdowns(2);
Chain Knife_upgraded,Do [sword]<d6> damage[;]|reduce countdowns by <double>|,1,attack(d); boostcountdowns(d*2); sfxdamage(target[;]d);,Plasma Gun,MAX2,,RED,,,,,3,NO,NO,,,,,,,,,,,,,boostcountdowns(d*2);
Chain Knife_downgraded,Do [sword]<d6> damage[;]|reduce countdowns by 2,1,attack(d); boostcountdowns(2); sfxdamage(target[;]d);,Plasma Gun,MAX2,,RED,,,,,0,NO,NO,,,,,,,,,,,,,boostcountdowns(2);
Cloak and Dagger,Gain [shield]<d6> shield[;]|replace this with Shiv,1,inflictself(SHIELD[;]d); sfx(~_shield~); giveequipment(~Shiv~[;]true[;]false[;]e);,Barricade,MAX3,,ORANGE,change_power,change_power,,,0,YES,NO,cannotreuse,1,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cloak and Dagger_upgraded,Gain [shield]<d6> shield[;]|replace this with Shiv+,1,inflictself(SHIELD[;]d); sfx(~_shield~); giveequipment(~Shiv+~[;]true[;]false[;]e);,Barricade,MAX5,,ORANGE,,,,,0,YES,NO,cannotreuse,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cloak and Dagger_downgraded,Gain [shield]1 shield[;]|replace this with Shiv,1,inflictself(SHIELD[;]1); sfx(~_shield~); giveequipment(~Shiv~[;]true[;]false[;]e);,Barricade,REQUIRE1,,ORANGE,,,,,0,YES,NO,cannotreuse,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Cloak and Dagger_weakened,Gain [shield]1 shield[;]|replace this with Shiv+,1,inflictself(SHIELD[;]1); sfx(~_shield~); giveequipment(~Shiv+~[;]true[;]false[;]e);,Barricade,REQUIRE1,,ORANGE,,,,,0,YES,NO,cannotreuse,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Shiv,At the start of your turn[;] do|[sword]2 damage and replace this|with Cloak and Dagger,1,attack(2); sfxdamage(target[;]2); e.animate(~flashandshake~); giveequipment(~Cloak and Dagger~[;]true[;]false[;]e);,Pea Gun,,,GRAY,change_power,change_power,,,0,NO,NO,excludefromrandomlists|cannotreuse,,,,,e.doequipmentaction(self[;]target[;]e.castdirection[;][][;]0[;]true);,,,,,,e.preventdefault = true; e.maintainfury = true;,e.animate(~flashandshake~); giveequipment(~Cloak and Dagger~[;]true[;]false[;]e); if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; };
Shiv_upgraded,At the start of your turn[;] do|[sword]3 damage and replace this|with Cloak and Dagger+,1,attack(3); sfxdamage(target[;]3); e.animate(~flashandshake~); giveequipment(~Cloak and Dagger+~[;]true[;]false[;]e);,Pea Gun,,,GRAY,,,,,0,NO,NO,excludefromrandomlists|cannotreuse,,,,,e.doequipmentaction(self[;]target[;]e.castdirection[;][][;]0[;]true);,,,,,,e.preventdefault = true; e.maintainfury = true;,e.animate(~flashandshake~); giveequipment(~Cloak and Dagger+~[;]true[;]false[;]e); if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; };
Shiv_downgraded,At the start of your turn[;] do|[sword]1 damage and replace this|with Cloak and Dagger,1,attack(1); sfxdamage(target[;]1); e.animate(~flashandshake~); giveequipment(~Cloak and Dagger~[;]true[;]false[;]e);,Pea Gun,,,GRAY,,,,,0,NO,NO,excludefromrandomlists|cannotreuse,,,,,e.doequipmentaction(self[;]target[;]e.castdirection[;][][;]0[;]true);,,,,,,e.preventdefault = true; e.maintainfury = true;,e.animate(~flashandshake~); giveequipment(~Cloak and Dagger~[;]true[;]false[;]e); if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; };
Shiv_weakened,At the start of your turn[;] do|[sword]1 damage and replace this|with Cloak and Dagger+,1,attack(1); sfxdamage(target[;]1); e.animate(~flashandshake~); giveequipment(~Cloak and Dagger+~[;]true[;]false[;]e);,Pea Gun,,,GRAY,,,,,0,NO,NO,excludefromrandomlists|cannotreuse,,,,,e.doequipmentaction(self[;]target[;]e.castdirection[;][][;]0[;]true);,,,,,,e.preventdefault = true; e.maintainfury = true;,e.animate(~flashandshake~); giveequipment(~Cloak and Dagger+~[;]true[;]false[;]e); if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; };
Adamant Rail,Do [sword]3 damage[;]|33% chance to repeat|,2,attack(3); sfxdamage(target[;]3);,Lucky Shot,COUNTDOWN,3,RED,threequartercountdown,change_power,,,4,NO,NO,,,,,,,,,,var odds = 33; if(getstatusself(~luck~) > 0){ odds += 33; } if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) inflictself(FURY);,,,
Adamant Rail_downgraded,Do [sword]3 damage|,2,attack(3); sfxdamage(target[;]3);,Lucky Shot,COUNTDOWN,3,RED,,,,,4,NO,NO,,,,,,,,,,,,,
Old Nail@2,Do [sword]<d6> damage|Use this twice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Old Nail@1~[;]true[;]false[;]e);,Pea Gun,MAX2,,RED,change_power,change_power,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Old Nail@1~[;]true[;]false[;]e);
Old Nail@2_upgraded,Do [sword]<d6> damage|Use this twice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Old Nail@1+~[;]true[;]false[;]e);,Pea Gun,MAX2|FREE1,,RED,,,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Old Nail@1+~[;]true[;]false[;]e);
Old Nail@2_downgraded,No effect|Use this twice to|permanently upgrade,1,if(e.originallyupgraded == true) { giveequipment(~Old Nail@1+~[;]true[;]false[;]e); } else { giveequipment(~Old Nail@1~[;]true[;]false[;]e); };,Pea Gun,MAX2,,RED,,,,,0,YES,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Old Nail@1,Do [sword]<d6> damage|Use this once to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Sharpened Nail@3~[;]true[;]false[;]e);,Pea Gun,MAX2,,RED,change_power,change_power,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,giveequipment(~Old Nail@2~[;]true[;]false[;]e);,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Sharpened Nail@3~[;]true[;]false[;]e);
Old Nail@1_upgraded,Do [sword]<d6> damage|Use this once to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Sharpened Nail@3+~[;]true[;]false[;]e);,Pea Gun,MAX2|FREE1,,RED,,,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,giveequipment(~Old Nail@2+~[;]true[;]false[;]e);,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Sharpened Nail@3+~[;]true[;]false[;]e);
Old Nail@1_downgraded,No effect|Use this once to|permanently upgrade,1,if(e.originallyupgraded == true) { giveequipment(~Sharpened Nail@3+~[;]true[;]false[;]e); } else { giveequipment(~Sharpened Nail@3~[;]true[;]false[;]e); };,Pea Gun,MAX2,,RED,,,,,0,YES,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Sharpened Nail@3,Do [sword]<d6> damage|Use this thrice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Sharpened Nail@2~[;]true[;]false[;]e);,Pea Gun,MAX3,,RED,change_power,change_power,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Sharpened Nail@2~[;]true[;]false[;]e);
Sharpened Nail@3_upgraded,Do [sword]<d6> damage|Use this thrice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Sharpened Nail@2+~[;]true[;]false[;]e);,Pea Gun,MAX3|FREE1,,RED,,,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Sharpened Nail@2+~[;]true[;]false[;]e);
Sharpened Nail@3_downgraded,Do [sword]<d6> damage|Use this thrice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); if(e.originallyupgraded == true) { giveequipment(~Sharpened Nail@2+~[;]true[;]false[;]e); } else { giveequipment(~Sharpened Nail@2~[;]true[;]false[;]e); };,Pea Gun,MAX2,,RED,,,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; if(e.originallyupgraded == true) { giveequipment(~Sharpened Nail@2+~[;]true[;]false[;]e); } else { giveequipment(~Sharpened Nail@2~[;]true[;]false[;]e); };
Sharpened Nail@2,Do [sword]<d6> damage|Use this twice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Sharpened Nail@1~[;]true[;]false[;]e);,Pea Gun,MAX3,,RED,change_power,change_power,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,giveequipment(~Sharpened Nail@3~[;]true[;]false[;]e);,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Sharpened Nail@1~[;]true[;]false[;]e);
Sharpened Nail@2_upgraded,Do [sword]<d6> damage|Use this twice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); giveequipment(~Sharpened Nail@1+~[;]true[;]false[;]e);,Pea Gun,MAX3|FREE1,,RED,,,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,giveequipment(~Sharpened Nail@3+~[;]true[;]false[;]e);,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; giveequipment(~Sharpened Nail@1+~[;]true[;]false[;]e);
Sharpened Nail@2_downgraded,Do [sword]<d6> damage|Use this twice to|permanently upgrade,1,attack(d); sfxdamage(target[;]d); if(e.originallyupgraded == true) { giveequipment(~Sharpened Nail@1+~[;]true[;]false[;]e); } else { giveequipment(~Sharpened Nail@1~[;]true[;]false[;]e); };,Pea Gun,MAX2,,RED,,,,,0,NO,NO,cannotreuse|excludefromrandomlists,,,,,,,,,,,e.preventdefault = true; e.maintainfury = true;,if(e.getvar(~reeq~) > 0) { for(mystat in self.status) { if(mystat.type == ~reequipnext~) { mystat.value = e.getvar(~reeq~); e.resetvar(~reeq~); }; }; }; if(e.originallyupgraded == true) { giveequipment(~Sharpened Nail@1+~[;]true[;]false[;]e); } else { giveequipment(~Sharpened Nail@1~[;]true[;]false[;]e); };
